UID,Year,precip_mm
347543,2018,548.1974797725677
347543,2019,706.5334713101387
347543,2020,329.09978667795656
347548,2017,667.5969020366668
347548,2018,535.5869940519333
347548,2019,709.0038994908333
347548,2020,300.27632157206534
347549,2017,671.9750323295593
347549,2018,543.0443604469299
347549,2019,746.0616877913475
347549,2020,316.4573874801397
347550,2017,685.7291104316711
347550,2018,505.9238564372062
347550,2019,701.1812067091464
347550,2020,304.65760014057156
347551,2017,711.9953547954559
347551,2018,610.5305633544922
347551,2019,665.4397950291633
347551,2020,357.5697270780802
347552,2017,637.1854952335357
347552,2018,598.5891410827636
347552,2019,710.3899605691432
347552,2020,310.4228490114212
347553,2017,656.642689371109
347553,2018,667.9612814426422
347553,2019,655.5675445437431
347553,2020,394.2093832731247
347557,2017,658.8573858261108
347557,2018,642.825679063797
347557,2019,682.3421926498413
347557,2020,344.28799061775203
347558,2017,593.9883015155792
347558,2018,555.598654103279
347558,2019,737.5147440075874
347558,2020,372.4864613205194
347562,2017,680.4047442913055
347562,2018,552.3460031986236
347562,2019,635.5337723791599
347562,2020,280.85440341234204
347563,2017,626.3155313014984
347563,2018,667.0070730924606
347563,2019,667.46880453825
347563,2020,362.1629661977291
347564,2017,630.5872878789901
347564,2018,645.520451593399
347564,2019,690.3551740527153
347564,2020,390.93056625425817
347565,2017,677.1210602760315
347565,2018,512.1235885381699
347565,2019,660.7930348455906
347565,2020,310.03088983297346
347566,2017,634.4380672454834
347566,2018,703.5576006889343
347566,2019,679.1798493385314
347566,2020,418.2610360234976
347568,2017,652.7528468608856
347568,2018,513.2446138620377
347568,2019,695.2790884673595
347568,2020,326.48629968762395
347569,2017,690.3882918834686
347569,2018,614.5000794172287
347569,2019,738.516662018299
347569,2020,305.4639631515741
347571,2017,729.8871829986572
347571,2018,689.3872961759567
347571,2019,639.2798819899559
347571,2020,395.63549270331856
347574,2017,620.8128148555755
347574,2018,695.3568476200104
347574,2019,694.2947727918624
347574,2020,415.4951718121767
347576,2017,609.6353872537612
347576,2018,580.3143435835838
347576,2019,710.8319098830223
347576,2020,357.4514245092869
347577,2017,648.5614663124084
347577,2018,637.1943246364593
347577,2019,642.9875120878219
347577,2020,314.23763043135403
347579,2017,766.054767036438
347579,2018,635.2723307609558
347579,2019,646.7926441073417
347579,2020,391.2089732855558
347580,2017,639.508781838417
347580,2018,585.3285284996033
347580,2019,654.9626229524612
347580,2020,320.49414560794827
347581,2017,646.3367050647735
347581,2018,582.3720562219619
347581,2019,663.8048975467682
347581,2020,316.77347806096077
347583,2017,650.1180391788482
347583,2018,676.1168580055237
347583,2019,666.676312637329
347583,2020,410.96289145350454
347585,2017,768.4660902976989
347585,2018,652.0039402961731
347585,2019,609.3249668240546
347585,2020,421.08555664420123
347587,2017,688.7232106208801
347587,2018,681.7057156324387
347587,2019,659.3219801664352
347587,2020,359.3453912377357
347588,2017,682.9417018413543
347588,2018,555.4553897738456
347588,2019,758.1325103223323
347588,2020,306.78752724975345
347589,2017,688.3580924034118
347589,2018,616.0596680879593
347589,2019,721.8644108295441
347589,2020,347.662717063725
347591,2017,670.3575741291046
347591,2018,587.1920048713683
347591,2019,731.2141474843024
347591,2020,318.2327779918909
347592,2017,687.4543018817901
347592,2018,568.3738523960113
347592,2019,666.2877197444438
347592,2020,290.156698679924
347593,2017,707.3405577659606
347593,2018,651.2408358335495
347593,2019,675.4951239109039
347593,2020,372.8130038887262
347594,2017,673.5717795848846
347594,2018,537.621388709545
347594,2019,729.5896274268626
347594,2020,302.5883780151606
347595,2017,650.7138149499893
347595,2018,609.0941412210465
347595,2019,687.1535329341888
347595,2020,312.1839757680893
347597,2017,625.7326393127441
347597,2018,564.6245294094085
347597,2019,646.83990457654
347597,2020,326.4500570476055
347598,2017,628.0834567387899
347598,2018,578.8538964509963
347598,2019,692.3272663116455
347598,2020,341.35811429222423
347601,2017,677.1210602760315
347601,2018,533.170090341568
347601,2019,660.7930348455906
347601,2020,310.03088983297346
347602,2017,670.2813457393646
347602,2018,511.4388447237015
347602,2019,674.443077994585
347602,2020,318.2527084159851
347604,2017,745.6125010013579
347604,2018,685.0575541428157
347604,2019,641.434949696064
347604,2020,398.3861170351505
347605,2017,625.2824729919433
347605,2018,580.014872097969
347605,2019,684.1490757584571
347605,2020,342.4163876980543
347606,2017,779.1205513954162
347606,2018,669.3486240863799
347606,2019,592.7447288632393
347606,2020,421.1958556741476
347607,2017,633.0450835943221
347607,2018,662.6713548183441
347607,2019,682.0912919640541
347607,2020,381.1320511996746
347609,2017,768.4660902976989
347609,2018,652.0039402961731
347609,2019,609.3249668240546
347609,2020,421.08555664420123
347610,2017,750.4854714870453
347610,2018,690.9998733758925
347610,2019,626.8488472223281
347610,2020,413.2403936982155
347616,2017,688.3580924034118
347616,2018,635.1825076341629
347616,2019,721.8644108295441
347616,2020,347.662717063725
347617,2017,660.6636164188385
347617,2018,549.3437866806984
347617,2019,699.9469168901443
347617,2020,299.606014406681
347619,2017,750.4854714870453
347619,2018,690.1935847759246
347619,2019,626.8488472223281
347619,2020,413.2403936982155
347620,2017,625.5750362873077
347620,2018,663.0094307184219
347620,2019,716.7014250397682
347620,2020,415.6304594755172
347621,2017,680.0436338233948
347621,2018,675.2296127736568
347621,2019,662.6370803236961
347621,2020,345.2746742749214
347622,2017,766.100773191452
347622,2018,649.6844628095627
347622,2019,615.0226795434952
347622,2020,400.74020662903786
347624,2017,660.6337006092072
347624,2018,676.7287574291229
347624,2019,670.0697540640831
347624,2020,402.24817652404306
347626,2017,646.3049906730652
347626,2018,511.7601932048797
347626,2019,674.1352361381054
347626,2020,316.2629521280527
347627,2017,620.8128148555755
347627,2018,695.3568476200104
347627,2019,694.2947727918624
347627,2020,415.4951718121767
347628,2017,670.5843408107758
347628,2018,535.5869940519333
347628,2019,719.296763458848
347628,2020,301.43234979361296
347629,2017,630.1972105503082
347629,2018,626.3314490556717
347629,2019,691.6460654616355
347629,2020,333.3075111597776
347631,2017,660.6636164188385
347631,2018,549.3437866806984
347631,2019,699.9469168901443
347631,2020,299.606014406681
347633,2017,625.2603752613068
347633,2018,598.5891410827636
347633,2019,684.4452967762946
347633,2020,325.00799579918385
347634,2017,666.0929482936859
347634,2018,513.2446138620377
347634,2019,704.4271053612232
347634,2020,324.87326432615515
347635,2017,634.4380672454834
347635,2018,681.2336150884628
347635,2019,679.1798493385314
347635,2020,418.2610360234976
347636,2017,788.7424568176269
347636,2018,669.3486240863799
347636,2019,620.3269009590149
347636,2020,428.06709891557693
347637,2017,670.8967268625895
347637,2018,543.0443604469299
347637,2019,736.1633275866509
347637,2020,317.6409811546405
347638,2017,657.7963798522949
347638,2018,667.9612814426422
347638,2019,661.5129074811936
347638,2020,385.5570770978927
347640,2017,768.4660902976989
347640,2018,652.0039402961731
