UID,WR_GROUP,GRP_ACRES,TRGT_ACRES,OVLP_ACRES,OVLP_PCT
348578,2393,240,7.65208311823429,7.65208230837872,0.999999894165346
348634,2393,240,1.21924416776213,1.21924434657109,1.00000014665558
353295,2393,240,6.00238906673109,6.00239150194389,1.00000040570726
353458,2393,240,5.19896236741367,5.19886252559136,0.999980795817462
349213,2393,240,5.77605256866276,5.52968121026579,0.957346067150838
352721,2393,240,24.7029148980039,24.5983673496863,0.995767805186176
1370743,2393,240,4.2360020835178,3.95920458917462,0.934655958876839
1371746,2393,240,4.14684510556373,4.14684434954944,0.999999817689284
348745,2420,408,8.0931695410202,8.09317015287446,1.00000007560131
354210,2420,408,124.307141546205,124.289675862527,0.999859495734034
350381,2420,408,126.163558611356,126.163561283501,1.00000002118001
1370632,2420,408,7.79980974132329,7.79981059722764,1.000000109734
1371926,2420,408,8.09922645218066,8.09922547300861,0.999999879103015
353494,2420,408,7.70593509793337,7.70593976266203,1.00000060534232
353942,2420,408,7.64182636531834,7.6418234914899,0.999999623934345
1371633,2420,408,126.141778553687,125.999341280638,0.998870816039835
351868,2420,408,6.88809472245343,6.7664188578202,0.982335338067202
1371512,2420,408,7.75232282765056,7.74878189427947,0.999543242270761
353753,2420,408,7.93191166444775,7.93046775320764,0.999817961759889
347818,2420,408,7.34990809798115,7.12508570348064,0.96941153664734
353630,2420,408,8.33475131214954,8.33475062217372,0.999999917216987
348990,2420,408,8.62987970245597,8.62927040023287,0.999929396208973
350418,2420,408,7.57112118651178,7.57112144343252,1.00000003393431
348508,2425,281.110000610352,61.0112313841397,30.0773381771265,0.492980349597489
351448,2425,281.110000610352,63.2547036357783,63.1726035301231,0.998702071135643
1228101,2425,281.110000610352,43.1410258479876,43.1410274265331,1.00000003659035
350807,2425,281.110000610352,59.5858987730225,59.5859380148159,1.00000065857517
351058,2425,281.110000610352,8.37132153852468,8.3713207779146,0.999999909140979
1228286,2425,281.110000610352,17.5184053840376,7.60686326393091,0.434221214612497
350865,2460,240,111.819348209813,96.4135185937858,0.862225725130141
352410,2460,240,31.7696612756018,30.1651920111833,0.949496809219976
352580,2460,240,72.3297263064249,72.329591613465,0.999998137792485
351857,2460,240,11.5208525705505,11.520763700833,0.999992286185685
353898,2460,240,57.5660868798523,40.0455222244,0.695644334970694
1370902,2460,240,19.3364281340848,8.70694338190398,0.450287060336446
1371402,2460,240,66.1898819865775,66.1899423768695,1.00000091237951
352713,2460,240,10.1516616635662,10.151661946362,1.0000000278571
350365,2460,240,10.1952207068967,4.32775832702971,0.424488929808273
350136,2500,1408,17.4495387885941,17.4496130802394,1.00000425751341
353205,2500,1408,59.4128792408941,59.4138017933971,1.00001552782014
354769,2500,1408,35.155710870347,35.1372096215456,0.999473734185902
1370587,2500,1408,59.8963884457439,59.8954735273773,0.999984724982752
347934,2500,1408,254.873716222577,254.69414066183,0.999295433191746
349918,2500,1408,8.38919479199395,8.38919555416572,1.0000000908516
350439,2500,1408,7.23724165180799,7.23724107073443,0.999999919710632
353902,2500,1408,63.3875819131939,63.3865977156283,0.999984473337902
349633,2500,1408,8.50494979292166,8.33119316428003,0.979569940696623
351251,2500,1408,60.0743293596142,60.0669868001287,0.99987777542315
351975,2500,1408,62.1224072136563,62.1223345709562,0.999998830652202
347687,2500,1408,70.3444328145243,70.3439950012222,0.999993776148522
353565,2500,1408,2.29314153484777,2.29349642128446,1.00015475993579
1370408,2500,1408,24.8255018722258,24.825503338903,1.00000005907946
