WR_GROUP,Year,Algorithm,n_irrfields,n_IrrConfHigh,area_m2_wrg,n_within_lema,n_within_buffer,n_croptypes,ET_m3,irr_m3_fromNonIrr,irr_m3_fromPrec,CropCode_maincrop,area_m2_maincrop,area_prc_maincrop,irr_m3_fromWIMAS,IrrArea_m2
777,2019,ensemble,13,2,986570.43,0,0,3,838996.61,NA,315447.3,1,526391.6247726236,0.5335570667495311,172687.4597448,550372.47
777,2019,geesebal,13,2,986570.43,0,0,3,749265.45,NA,225716.2,1,526391.6247726236,0.5335570667495311,172687.4597448,550372.47
777,2019,ptjpl,13,2,986570.43,0,0,3,782702.9,NA,259153.5,1,526391.6247726236,0.5335570667495311,172687.4597448,550372.47
777,2019,sims,13,2,986570.43,0,0,3,1023236.72,NA,499687.4,1,526391.6247726236,0.5335570667495311,172687.4597448,550372.47
777,2019,ssebop,13,2,986570.43,0,0,3,813615.71,NA,290066.4,1,526391.6247726236,0.5335570667495311,172687.4597448,550372.47
777,2020,disalexi,13,2,986570.43,0,0,3,757050.4,97679.6,374629.4,1,457071.94018577365,0.463293776386318,201057.54241716,550372.47
777,2020,eemetric,13,2,986570.43,0,0,3,927292.72,200597,544871.5,1,457071.94018577365,0.463293776386318,201057.54241716,550372.47
777,2020,ensemble,13,2,986570.43,0,0,3,825916.75,133227.7,443495.6,1,457071.94018577365,0.463293776386318,201057.54241716,550372.47
777,2020,geesebal,13,2,986570.43,0,0,3,871942.08,206910.8,489520.9,1,457071.94018577365,0.463293776386318,201057.54241716,550372.47
777,2020,ptjpl,13,2,986570.43,0,0,3,787780.38,86142.7,405359.2,1,457071.94018577365,0.463293776386318,201057.54241716,550372.47
777,2020,sims,13,2,986570.43,0,0,3,930952.03,119147.7,548531.1,1,457071.94018577365,0.463293776386318,201057.54241716,550372.47
777,2020,ssebop,13,2,986570.43,0,0,3,769452.74,174506.1,387031.7,1,457071.94018577365,0.463293776386318,201057.54241716,550372.47
912,2016,disalexi,19,6,3573170.88,0,0,3,2164481.26,NA,586407.9,520,1690928.5257535386,0.4732291240864301,170220.49603416,485622.77
912,2016,eemetric,19,6,3573170.88,0,0,3,2138949.67,NA,563665.7,520,1690928.5257535386,0.4732291240864301,170220.49603416,485622.77
912,2016,ensemble,19,6,3573170.88,0,0,3,2198578.02,NA,620504.4,520,1690928.5257535386,0.4732291240864301,170220.49603416,485622.77
912,2016,geesebal,19,6,3573170.88,0,0,3,1947397.24,NA,370388.4,520,1690928.5257535386,0.4732291240864301,170220.49603416,485622.77
912,2016,ptjpl,19,6,3573170.88,0,0,3,2288626.47,NA,725601.7,520,1690928.5257535386,0.4732291240864301,170220.49603416,485622.77
912,2016,sims,19,6,3573170.88,0,0,3,2969845.93,NA,1391772.5,520,1690928.5257535386,0.4732291240864301,170220.49603416,485622.77
912,2016,ssebop,19,6,3573170.88,0,0,3,2056288.54,NA,478396.7,520,1690928.5257535386,0.4732291240864301,170220.49603416,485622.77
912,2017,disalexi,19,2,3573170.88,0,0,4,2560823.01,NA,118232.3,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2017,eemetric,19,2,3573170.88,0,0,4,2999296.63,NA,496987.2,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2017,ensemble,19,2,3573170.88,0,0,4,2711015.72,NA,226375.5,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2017,geesebal,19,2,3573170.88,0,0,4,2390930.28,NA,53918.1,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2017,ptjpl,19,2,3573170.88,0,0,4,2743218.04,NA,232764.5,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2017,sims,19,2,3573170.88,0,0,4,3551552.42,NA,1041098.8,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2017,ssebop,19,2,3573170.88,0,0,4,2536541.24,NA,126237.4,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2018,disalexi,19,8,3573170.88,0,0,4,2732399.02,NA,505036,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2018,eemetric,19,8,3573170.88,0,0,4,2500537.68,NA,349492,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2018,ensemble,19,8,3573170.88,0,0,4,2520709.46,NA,296446.3,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2018,geesebal,19,8,3573170.88,0,0,4,2347346.72,NA,162370.8,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2018,ptjpl,19,8,3573170.88,0,0,4,2571793.36,NA,344430.1,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2018,sims,19,8,3573170.88,0,0,4,3230204.56,NA,1002841.4,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2018,ssebop,19,8,3573170.88,0,0,4,2179319.2,NA,134761.3,520,1690928.5257535386,0.4732291240864301,91277.65729368,485622.77
912,2019,disalexi,19,3,3573170.88,0,0,3,2571612.19,83847.7,520604.3,520,1690928.5257535386,0.4732291240864301,77709.35688516,485622.77
912,2019,eemetric,19,3,3573170.88,0,0,3,2527631.17,185999,486897.6,520,1690928.5257535386,0.4732291240864301,77709.35688516,485622.77
912,2019,ensemble,19,3,3573170.88,0,0,3,2486406.68,116960,438545.1,520,1690928.5257535386,0.4732291240864301,77709.35688516,485622.77
912,2019,geesebal,19,3,3573170.88,0,0,3,2114182.05,102477,107136.2,520,1690928.5257535386,0.4732291240864301,77709.35688516,485622.77
912,2019,ptjpl,19,3,3573170.88,0,0,3,2498876.91,79112,447868.9,520,1690928.5257535386,0.4732291240864301,77709.35688516,485622.77
912,2019,sims,19,3,3573170.88,0,0,3,3433373.88,133797.8,1382365.6,520,1690928.5257535386,0.4732291240864301,77709.35688516,485622.77
912,2019,ssebop,19,3,3573170.88,0,0,3,2306748.43,187980,269698.4,520,1690928.5257535386,0.4732291240864301,77709.35688516,485622.77
912,2020,disalexi,19,2,3573170.88,0,0,3,2341577.69,41715,1140582.3,520,1690928.5257535386,0.4732291240864301,162819.60490224,485622.77
912,2020,eemetric,19,2,3573170.88,0,0,3,2599592.81,93441.4,1398597.6,520,1690928.5257535386,0.4732291240864301,162819.60490224,485622.77
912,2020,ensemble,19,2,3573170.88,0,0,3,2541257.5,91613.7,1340262.4,520,1690928.5257535386,0.4732291240864301,162819.60490224,485622.77
