UID,within_lema,within_buffer,area_m2
347566,FALSE,FALSE,102217.49402226764
347568,FALSE,FALSE,67195.99567489699
347569,TRUE,FALSE,71270.27046036805
347571,FALSE,FALSE,751356.0922864676
347574,FALSE,FALSE,66088.71769143688
347576,FALSE,FALSE,6107.28153712675
347577,FALSE,TRUE,34523.23333231639
347579,FALSE,FALSE,159195.4310904753
347580,FALSE,FALSE,324339.02615266293
347581,FALSE,FALSE,110462.36688862927
347583,FALSE,TRUE,1309849.9683228657
347585,FALSE,FALSE,23692.940488833934
347587,FALSE,TRUE,210377.27871374786
347588,TRUE,FALSE,252375.7506825789
347589,TRUE,FALSE,9054.370294580702
347591,TRUE,FALSE,167960.6354942806
347592,FALSE,TRUE,462707.86497789016
347593,FALSE,FALSE,96554.21406693826
347594,TRUE,FALSE,48940.54216841981
347595,FALSE,FALSE,213518.24859430827
347597,FALSE,FALSE,12070.28813887434
347598,FALSE,FALSE,246287.07362229284
347601,FALSE,FALSE,538409.5582114727
347602,FALSE,FALSE,98649.89952740254
347604,FALSE,FALSE,145923.84740300488
347605,FALSE,FALSE,135894.82475591544
347606,FALSE,FALSE,61835.78076611413
347607,FALSE,FALSE,217975.48944798345
347609,FALSE,FALSE,483870.0788871705
347610,FALSE,FALSE,84122.91486917716
347616,FALSE,TRUE,29352.441026970337
347617,FALSE,TRUE,234629.18827211522
347619,FALSE,FALSE,95161.81117725372
347620,FALSE,FALSE,97109.52031041845
347621,TRUE,FALSE,253947.57907646894
347622,FALSE,FALSE,6740.912465372123
347624,FALSE,FALSE,21461.218571926467
347626,FALSE,FALSE,264230.9309381468
347627,FALSE,FALSE,116371.9403175319
347628,TRUE,FALSE,5519.563128705602
347629,FALSE,TRUE,224286.17833012622
347631,FALSE,TRUE,90009.94041731022
347633,FALSE,FALSE,292730.22766148904
347634,FALSE,FALSE,600108.9989108366
347635,FALSE,FALSE,170426.45366015017
347636,FALSE,FALSE,26835.054907187354
347637,TRUE,FALSE,487609.235173424
347638,FALSE,FALSE,846616.4830857344
347640,FALSE,FALSE,75434.84779565921
347642,FALSE,TRUE,262296.18794925895
347644,FALSE,FALSE,178686.95851890487
347645,FALSE,FALSE,89893.76542922854
347646,FALSE,FALSE,468332.4573899031
347647,FALSE,FALSE,397740.7060932111
347648,FALSE,FALSE,8431.58837093506
347649,FALSE,TRUE,39869.37696833374
347650,TRUE,FALSE,315424.8915434545
347652,FALSE,FALSE,323984.03948579915
347653,FALSE,FALSE,11286.783468036912
347654,FALSE,FALSE,483822.48513438785
347656,TRUE,FALSE,24599.54546324775
347657,FALSE,TRUE,20473.545690017985
347659,FALSE,TRUE,35992.800864331424
347660,FALSE,FALSE,100878.23514612531
