UID,Year,precip_mm
347506,2017,829.4090317383408
347506,2018,842.0896063327789
347506,2019,785.941387784481
347506,2020,498.1177864883095
347507,2017,716.8264399304985
347507,2018,736.5618709683419
347507,2019,834.3467877030372
347507,2020,434.98182553760705
347508,2017,745.5295924991369
347508,2018,700.6787278413772
347508,2019,859.0835552632808
347508,2020,416.4236974738538
347509,2017,743.1283046975732
347509,2018,791.6474575519561
347509,2019,897.5941293120384
347509,2020,488.02114978358145
347510,2017,751.9991323500872
347510,2018,828.2810787320137
347510,2019,811.2009515285491
347510,2020,504.851389233768
347512,2017,717.3105965949594
347512,2018,701.8436882257461
347512,2019,836.7782011866569
347512,2020,421.5221278116107
347513,2017,851.1980008646846
347513,2018,847.7089096546173
347513,2019,773.9916296601295
347513,2020,518.0439574487507
347514,2017,716.8264399304985
347514,2018,736.5618709683419
347514,2019,834.3467877030372
347514,2020,434.98182553760705
347515,2017,806.5501952528953
347515,2018,836.2982023239135
347515,2019,800.8458619952202
347515,2020,466.9325134415179
347516,2017,750.6895824499428
347516,2018,679.6630910992623
347516,2019,854.7968846857548
347516,2020,429.11185550745574
347517,2017,776.3457786579429
347517,2018,666.5033175039291
347517,2019,860.3926011478901
347517,2020,409.48386259919033
347518,2017,739.8274845704436
347518,2018,738.0246041774749
347518,2019,812.9574031829834
347518,2020,412.3037601410411
347519,2017,778.1366065450012
347519,2018,779.1017919421196
347519,2019,905.8475590348244
347519,2020,402.1395043010823
347521,2017,840.9969122722745
347521,2018,807.831657731533
347521,2019,803.9017695188522
347521,2020,489.38301791986447
347522,2017,754.5340779446065
347522,2018,725.2526260733604
347522,2019,851.5966417074203
347522,2020,397.0598285317421
347523,2017,724.9169655039906
347523,2018,790.9843939185142
347523,2019,934.3565277576446
347523,2020,491.405464977026
347524,2017,763.6075008042156
347524,2018,702.3671104311943
347524,2019,904.5281234622001
347524,2020,416.11681781336665
347525,2017,727.0865522563457
347525,2018,836.0102126955985
347525,2019,834.6447997331619
347525,2020,503.6315040625632
347526,2017,731.1594962507486
347526,2018,810.0122462272644
347526,2019,852.9429227828979
347526,2020,444.6075812861323
347528,2017,720.3310017094016
347528,2018,732.8017807126045
347528,2019,854.582430267334
347528,2020,425.2400343605317
347529,2017,764.3886392977089
347529,2018,700.608393138647
347529,2019,895.8671343594789
347529,2020,408.8395861363038
347530,2017,749.7136195644736
347530,2018,850.8264965832233
347530,2019,823.2397159993649
347530,2020,506.4936296962201
347531,2017,682.5283786341547
347531,2018,710.2301025032997
347531,2019,886.3133377432823
347531,2020,461.3437261663377
347534,2017,872.1080876737833
347534,2018,792.3258742332458
347534,2019,789.0396861314773
347534,2020,494.9661039131693
347535,2017,759.6104160398245
347535,2018,850.2427000045776
347535,2019,825.7309330940246
347535,2020,503.65053101330994
347536,2017,768.8681968741118
347536,2018,681.5699726462364
347536,2019,881.1364803135394
347536,2020,399.10575372986494
347537,2017,700.1630152776837
347537,2018,741.0938572406768
347537,2019,907.4690897822379
347537,2020,471.10202491432426
347539,2017,751.9991323500872
347539,2018,828.2810787320137
347539,2019,811.2009515285491
347539,2020,504.851389233768
347540,2017,739.8274845704436
347540,2018,725.3633175969123
347540,2019,812.9574031829834
347540,2020,412.3037601410411
347541,2017,883.5802620768546
347541,2018,816.65634294578
347541,2019,733.0990615010261
347541,2020,523.8565856108441
347542,2017,720.3310017094016
347542,2018,732.8017807126045
347542,2019,854.582430267334
347542,2020,425.2400343605317
347543,2017,734.2996481552719
347543,2018,709.4055192351341
347543,2019,859.5161513447761
347543,2020,427.736524011963
347548,2017,760.4353294454514
347548,2018,698.3428102850913
347548,2019,864.443297302723
347548,2020,399.5915351077914
347549,2017,763.6075008042156
347549,2018,701.7489038586616
347549,2019,904.5281234622001
347549,2020,416.11681781336665
347550,2017,779.3670041672885
347550,2018,666.8947404384612
347550,2019,865.4980241358279
347550,2020,401.9220575447194
347551,2017,813.8245653837919
347551,2018,760.0814700603485
347551,2019,801.432246685028
347551,2020,457.00870005488395
347552,2017,729.4631127715111
347552,2018,756.5503508090973
347552,2019,863.0936408579349
347552,2020,402.89051464051005
347553,2017,763.5138325080275
347553,2018,821.5711972951889
347553,2019,796.5694091200828
347553,2020,488.0117028750479
347557,2017,756.8255618751049
347557,2018,800.8571591496467
347557,2019,831.5629051208496
347557,2020,443.2441978139337
347558,2017,682.5283786341547
347558,2018,710.2301025032997
347558,2019,886.3133377432823
347558,2020,461.3437261663377
347562,2017,775.2960933238268
347562,2018,706.3917996644973
347562,2019,810.4257679522037
347562,2020,370.9527304843068
347563,2017,721.0041806638241
347563,2018,819.3127398848533
347563,2019,815.6330483675002
347563,2020,460.5635211225599
347564,2017,742.235806031525
347564,2018,797.4880682229996
347564,2019,831.9182234883308
347564,2020,490.40651401169595
347565,2017,771.8706839174032
347565,2018,671.8836967587471
347565,2019,828.2410928308964
347565,2020,402.63923684908076
347566,2017,739.8168230891227
347566,2018,851.410293161869
