UID,Year,precip_mm,ETo_mm,ETr_mm
347519,2016,527.98,1526.76,2165.7200000000003
347519,2017,735.3,1500.9,2130.9
347519,2018,638.1999999999999,1441.6000000000001,2026.4
347519,2019,827.7,1344.7,1867.4
347519,2020,365.7,1571,2256.9
347519,2021,545,1522,2166.6
347521,2016,502.01,1553.83,2212.2
347521,2017,802,1522.2,2167.4
347521,2018,732,1469.5,2075.1
347521,2019,715,1368.6,1906.8
347521,2020,413.4,1588.8,2289
347521,2021,571.8,1542.8,2201.8
347522,2016,588.86,1487.29,2093.85
347522,2017,721.5,1481.5,2092.7
347522,2018,648.8,1388.2,1934
347522,2019,745.2,1314.3,1810.9
347522,2020,401,1545.3,2209.2
347522,2021,491.7,1501.5,2127.5
347523,2016,660.9,1502.8,2120.01
347523,2017,701.4,1507.2,2140.1
347523,2018,700.4,1402.8,1956.5
347523,2019,814.8,1331,1839.9
347523,2020,433.4,1546.2,2211.4
347523,2021,519.3,1513.7,2149.6
347524,2016,582.95,1521.34,2154.02
347524,2017,738.2,1499.5,2125.8
347524,2018,618.7,1428.4,2002
347524,2019,785.9,1341.4,1859.7
347524,2020,384.8,1562.9,2242.4
347524,2021,509.9,1517.1000000000001,2155
347525,2016,660.96,1514.21,2139.02
347525,2017,723,1512,2148
347525,2018,747.4,1411,1970
347525,2019,744.8,1345.8999999999999,1861.1
347525,2020,441.8,1555.1,2227.4
347525,2021,534.1,1521.3,2161.7
347526,2016,654.04,1522.79,2155.13
347526,2017,713.6,1512.7,2148.8
347526,2018,707.9,1424,1993.7
347526,2019,765.5,1353.8,1877.4
347526,2020,408,1563.6,2240.6
347526,2021,513.5,1524.2,2166.6
347528,2016,622.95,1531.22,2171.25
347528,2017,713.9,1511,2148.3
347528,2018,663.6,1434.5,2011.9
347528,2019,776.4,1363.3,1896.2
347528,2020,390.2,1568.5,2251.6
347528,2021,517.2,1524.2,2169.4
347529,2016,565.6999999999999,1521.33,2154.52
347529,2017,740.5,1502,2131.3
347529,2018,609.4,1431.8999999999999,2008.1999999999998
347529,2019,800.1,1344.1000000000001,1863.5
347529,2020,374.2,1567.9,2250.6
347529,2021,525.6,1520.6,2161.6
347530,2016,636.34,1520.49,2151.44
347530,2017,724.6,1514.9,2153.4
347530,2018,775.6,1422.6,1991.6
347530,2019,719.1,1348.3,1868.3
347530,2020,448.1,1562.1,2239.6
347530,2021,536,1526.7,2172.3
347531,2016,645.13,1488.47,2096.43
347531,2017,649.5,1493,2115.3
347531,2018,626,1383.8,1927.2
347531,2019,777,1314,1809.2
347531,2020,387.1,1537.8,2198.6
347531,2021,469.2,1506.9,2136.6
347534,2016,512.7,1546.33,2197.31
347534,2017,806.9,1519.21,2159.9500000000003
347534,2018,721.07,1464.3799999999999,2063.1
347534,2019,700.89,1365.23,1899.3
347534,2020,421.11,1583.3300000000002,2277.16
347534,2021,590.17,1541.08,2195.61
347535,2016,612.89,1531.03,2169.7799999999997
347535,2017,747,1516.7,2159.5
347535,2018,763.5,1433.5,2011.1
347535,2019,727.4,1358.9,1888.6000000000001
347535,2020,448.4,1571,2255.8
347535,2021,543.8000000000001,1533,2183.1
347536,2016,563.41,1502.59,2121.43
347536,2017,735.83,1484.8600000000001,2099.53
347536,2018,598.01,1410.6200000000001,1971.4
347536,2019,791.2,1326.04,1831.77
347536,2020,396.47,1555.28,2227.55
347536,2021,528.1700000000001,1507.08,2139.27
347537,2016,641.49,1496.86,2109.84
347537,2017,661.6,1502.4,2131
347537,2018,656.4,1395.7,1946.5
347537,2019,782.1,1324.5,1827.7
347537,2020,413.40000000000003,1542,2204
347537,2021,489.6,1509.7,2140.9
347539,2016,641.43,1521.15,2151.77
347539,2017,729.9,1513.6,2149.7
347539,2018,745.3,1422.6,1990.3
347539,2019,738.8000000000001,1352,1873.8
347539,2020,439.6,1562.3,2238.6
347539,2021,533.1,1525,2168.7
347540,2016,653.23,1501.1100000000001,2118.26
347540,2017,721.2,1496.2,2120.6
347540,2018,642.6,1397.7,1950.8
347540,2019,750.8,1327.3,1832
347540,2020,393.09999999999997,1552.5,2222.1
347540,2021,468.6,1511.9,2146.4
347541,2016,537.92,1537.51,2179.52
347541,2017,821.53,1511.52,2143.55
347541,2018,721.94,1461.27,2054.28
347541,2019,676.14,1357.79,1883.4099999999999
347541,2020,447.22999999999996,1577.91,2262.98
347541,2021,616.32,1535.91,2186.43
347542,2016,622.95,1531.22,2171.25
347542,2017,713.9,1511,2148.3
347542,2018,663.6,1434.5,2011.9
347542,2019,776.4,1363.3,1896.2
347542,2020,390.2,1568.5,2251.6
347542,2021,517.2,1524.2,2169.4
347543,2016,601.32,1535.45,2178.86
347543,2017,716,1512.1,2147.7
347543,2018,636.7,1439,2019.8999999999999
347543,2019,786.4,1362.6,1895.1
347543,2020,386.2,1572.2,2259.6
347543,2021,507.4,1524.9,2171.6
347548,2016,564.14,1502.5,2121.04
347548,2017,735.8,1484.6,2098.8
347548,2018,602.4,1410.2,1970.6000000000001
347548,2019,787.1,1326.2,1831.3
347548,2020,396.3,1555,2226.8
347548,2021,526.7,1506.8,2138.9
347549,2016,593.7,1535.75,2179.88
347549,2017,737.76,1511.02,2144.61
347549,2018,628.01,1442.44,2026.12
347549,2019,794.48,1356.16,1886.34
347549,2020,382.06,1573.97,2262.83
347549,2021,499.13,1526.55,2173.27
347550,2016,568.09,1485.56,2092.56
347550,2017,734.8,1472.8,2082.3
347550,2018,588.9,1394.8,1942
347550,2019,804.5,1316,1814.5
347550,2020,421.9,1547.6000000000001,2216
347550,2021,527.9,1499.5,2125.5
347551,2016,468.40999999999997,1529.6299999999999,2166.62
347551,2017,790.7,1501.2,2127.8
347551,2018,751.8,1468.9,2066.9
347551,2019,678.9,1355.7,1881.6
347551,2020,453.3,1585.5,2277.6
347551,2021,499.40000000000003,1541.5,2195.5
347552,2016,650.44,1479.32,2080.5099999999998
347552,2017,675.8,1490.1,2109.7
347552,2018,665.8,1375.7,1912.6
347552,2019,788.7,1306.5,1796.2
