WR_GROUP,Year,LEMA_fieldArea_m2,notLEMA_fieldArea_m2,LEMA_irrFieldArea_m2,notLEMA_irrFieldArea_m2,LEMA_fieldArea_fraction,LEMA_irrFieldArea_fraction,WRGirrigationTotal_m3,WRGirrigationLEMA_m3,WRGirrAreaReported_m2
3122,2016,0,190688.57147873822,0,167277.01484531743,0,0,0,0,0
3157,2016,0,1832259.018436909,0,1147413.5728842,0,0,329339.65537044,0,1294994.048
3180,2016,0,1479625.0520292078,0,874176.1588208313,0,0,335507.06464704,0,870074.126
3236,2016,0,1243627.4755877906,0,729106.0018115165,0,0,207224.95169376,0,809371.28
3251,2016,0,126284.65589675121,0,76259.27469862357,0,0,0,0,0
3299,2016,0,641535.0470942378,0,521007.78627280606,0,0,148017.82263840002,0,485622.76800000004
3412,2016,0,1858498.5696505755,0,1726105.1191477308,0,0,176387.90531076,0,505857.05
3424,2016,0,2930185.7687993767,0,1099497.4849254815,0,0,339207.510213,0,1699679.688
3453,2016,0,708307.6823962425,0,325936.47471246286,0,0,18502.227829800002,0,275186.2352
3520,2016,0,1418133.8918839435,0,507493.1415749342,0,0,172185.36205815925,0,485622.76800000004
3647,2016,0,623265.0031820479,0,506386.8324204426,0,0,198590.57870652,0,408732.4964
3657,2016,0,1114671.2752870023,0,784143.3942571103,0,0,498326.66954928,0,809371.28
3662,2016,0,3230054.952909175,0,2327171.466963369,0,0,450733.0100184231,0,2428113.84
3712,2016,0,2524427.321192636,0,1299197.721201442,0,0,287401.27228956,0,1517571.1500000001
3751,2016,1279951.1979053593,0,939373.540622328,0,1,1,230673.5912495033,230673.5912495033,995526.6744
3769,2016,576181.1492229431,1887269.2693247288,481914.6231747366,1138093.375844681,0.2338919204075684,0.2974766936128939,291382.94025629055,86679.63364264471,1800851.098
3780,2016,3071944.4568436,0,1785054.1405702326,0,1,1,350308.84691088,350308.84691088,2306708.148
3786,2016,0,1278955.635872221,0,1006043.0233687917,0,0,276553.08912675036,0,971245.5360000001
3823,2016,0,847412.1728443732,0,174964.0571988611,0,0,102378.99399156,0,222577.102
3947,2016,0,1202117.2962139978,0,870145.7988143051,0,0,255330.74405124,0,485622.76800000004
3969,2016,698560.6338894556,0,542760.5348574131,0,1,1,139383.44965116002,139383.44965116002,497763.3372
3988,2016,0,216751.13050723504,0,78496.72234476432,0,0,7400.89113192,0,52609.133200000004
3989,2016,0,923370.075893735,0,351628.16063851,0,0,198590.57870652,0,602981.6036
4024,2016,630654.0375529038,0,501964.1269012153,0,1,1,0,0,0
4054,2016,0,258639.15679160913,0,0,0,NA,222972.02824520553,NA,667731.306
4062,2016,1246984.6506354164,0,959466.7910143441,0,1,1,205991.46983844,205991.46983844,951011.2540000001
4065,2016,0,1515224.1717160721,0,0,0,NA,186935.99576996497,NA,805324.4236
4076,2016,0,1264543.7017428216,0,293350.3437378971,0,0,130749.07666392,0,356123.3632
4088,2016,0,774619.3094975636,0,0,0,NA,98743.89229069948,NA,364217.076
4166,2016,625664.1506908247,2466223.203126153,462411.76204023865,1642098.5506320978,0.20235670937960715,0.21972416065429573,561234.2441706,123316.72323083314,2144833.892
4219,2016,0,1274119.1307210915,0,1011770.156460658,0,0,330413.3472110694,0,1011714.1
4231,2016,635321.6662690572,0,461738.5618873444,0,1,1,81409.80245112,81409.80245112,485622.76800000004
4272,2016,0,1266956.3576429326,0,533574.939385204,0,0,181321.83273204,0,586794.1780000001
4288,2016,1259883.4943774599,0,910214.4404853975,0,1,1,208458.43354908001,208458.43354908001,809371.28
4310,2016,0,1511716.5054780438,0,436951.21854764177,0,0,167753.53232352,0,696059.3008
4317,2016,633710.8958973088,0,494984.99546156917,0,1,1,156652.19562564002,156652.19562564002,505857.05
