UID,Year,precip_mm,ETr_mm,ETo_mm
347540,2020,297.09999999999997,1713.2,1223.5
347540,2021,332.2,1638.5,1185.8
347541,2016,478.84,1639.8,1189.43
347541,2017,708.1999999999999,1577.37,1148.39
347541,2018,592.94,1586.78,1157.62
347541,2019,542.5,1528.05,1121.82
347541,2020,350.71999999999997,1738.18,1239.1
347541,2021,487.06,1658.27,1197.76
347542,2016,566.12,1632.82,1184.2
347542,2017,615.4,1584.2,1149.8
347542,2018,547.1,1555.4,1137.3
347542,2019,650,1545.3999999999999,1130.6
347542,2020,290.7,1733.5,1234.2
347542,2021,380.6,1648,1190
347543,2016,544.61,1638.25,1187.22
347543,2017,618.4,1581.9,1149.5
347543,2018,519.2,1561,1141
347543,2019,660.4,1541.6,1128.7
347543,2020,286.6,1738.6,1236.2
347543,2021,377.1,1648.3,1189.9
347548,2016,509.59999999999997,1597.54,1164.41
347548,2017,640.6,1552.3,1133.8
347548,2018,481.7,1533.7,1125.4
347548,2019,662.6,1485.7,1096.4
347548,2020,298.3,1713.4,1223.3
347548,2021,400.59999999999997,1627.3,1179
347549,2016,539.66,1639.25,1187.48
347549,2017,644.09,1579.39,1148.29
347549,2018,517.33,1565.59,1143.27
347549,2019,673.2900000000001,1532.23,1121.35
347549,2020,290.56,1740.61,1237.27
347549,2021,376.84,1648.33,1190.96
347550,2016,512.89,1577.8600000000001,1152.7
347550,2017,635.7,1542.5,1126.2
347550,2018,466.2,1515.6,1115.8
347550,2019,673.5,1470.5,1087.5
347550,2020,318.6,1702.4,1216.4
347550,2021,399.1,1619.8,1174.9
347551,2016,412,1627.97,1182.23
347551,2017,687.6,1562.4,1139
347551,2018,636.8,1597.9,1164.9
347551,2019,552.3,1527.1,1120.4
347551,2020,352.9,1749.5,1245.1
347551,2021,378.40000000000003,1666.8,1202.8
347552,2016,595.16,1571.21,1149.33
347552,2017,585.8,1577.3,1147.4
347552,2018,538.6999999999999,1493.3999999999999,1101.9
347552,2019,658.6,1457.2,1080.7
