UID,gridmet_id
1381255,564181
1381351,564181
1431782,564181
1431815,564181
1432187,564181
1432189,564181
1432419,564181
1432420,564181
348512,564182
348602,564182
348896,564182
348906,564182
349433,564182
349601,564182
349822,564182
349903,564182
350560,564182
351395,564182
351679,564182
352041,564182
352144,564182
352218,564182
352413,564182
353096,564182
373822,564182
374221,564182
374578,564182
374663,564182
374730,564182
375161,564182
375164,564182
375224,564182
375606,564182
375928,564182
376001,564182
376075,564182
376335,564182
376368,564182
376555,564182
376691,564182
376900,564182
377045,564182
377218,564182
377237,564182
377270,564182
377491,564182
377535,564182
377559,564182
377726,564182
377863,564182
378107,564182
378438,564182
378458,564182
378729,564182
379220,564182
379336,564182
568779,564182
568780,564182
568781,564182
570178,564182
570179,564182
570183,564182
571066,564182
571067,564182
574311,564182
574313,564182
574507,564182
1207221,564182
1230965,564182
1231008,564182
1231102,564182
1244049,564182
1244486,564182
1244489,564182
1244490,564182
1244491,564182
1244493,564182
1244521,564182
1370837,564182
1371500,564182
1371706,564182
1379983,564182
1380221,564182
1380241,564182
1381161,564182
1381182,564182
1432013,564182
347602,564183
347626,564183
347902,564183
347910,564183
348235,564183
348389,564183
348705,564183
348740,564183
348826,564183
348850,564183
348871,564183
348958,564183
348963,564183
349030,564183
349081,564183
349316,564183
349423,564183
349587,564183
349619,564183
349849,564183
349899,564183
350004,564183
350300,564183
350350,564183
350386,564183
350432,564183
351083,564183
351145,564183
351522,564183
351642,564183
351784,564183
352103,564183
352130,564183
352304,564183
352429,564183
352584,564183
352830,564183
353226,564183
353311,564183
353395,564183
353600,564183
353778,564183
353839,564183
354040,564183
354113,564183
354155,564183
354289,564183
354463,564183
354589,564183
354861,564183
354881,564183
377886,564183
568783,564183
570177,564183
570182,564183
570192,564183
570193,564183
570194,564183
570195,564183
570201,564183
570202,564183
571373,564183
571385,564183
571387,564183
571390,564183
571391,564183
1228264,564183
1228289,564183
1228340,564183
1243997,564183
1243998,564183
1370486,564183
1370524,564183
1370626,564183
1370759,564183
1370992,564183
1371014,564183
1371115,564183
1371129,564183
1371336,564183
1371483,564183
1371622,564183
1371699,564183
1371711,564183
1371933,564183
1381216,564183
1430227,564183
1430228,564183
1430229,564183
1430634,564183
1430635,564183
1430636,564183
1430637,564183
1430638,564183
1430639,564183
1430651,564183
1430652,564183
347516,564184
347568,564184
347634,564184
348069,564184
348184,564184
348451,564184
348483,564184
348506,564184
348525,564184
348708,564184
349013,564184
349026,564184
349154,564184
349190,564184
349334,564184
349471,564184
349712,564184
349841,564184
350198,564184
350335,564184
350340,564184
350519,564184
350571,564184
350579,564184
350594,564184
350660,564184
350727,564184
