UID,irr2006,irr2007,irr2008,irr2009,irr2010,irr2011,irr2012,irr2013,irr2014,irr2015,irr2016,irr2017,irr2018
347963,0,1,0,1,1,1,1,1,1,1,0,1,1
347964,1,1,1,1,1,1,1,1,1,1,1,1,1
347965,0,0,0,0,0,0,0,0,0,0,0,0,0
347967,0,0,0,0,0,0,0,0,0,0,0,0,0
347968,0,1,0,1,1,1,1,1,1,1,1,1,1
347969,0,0,0,0,0,0,0,0,0,0,0,0,0
347970,0,0,0,0,0,0,0,0,0,0,0,0,0
347971,1,1,1,1,1,1,1,0,1,1,0,1,1
347972,0,0,0,0,0,0,0,0,0,0,0,0,0
347974,0,0,0,0,0,0,0,0,0,0,0,0,0
347975,0,0,0,0,0,0,0,0,0,0,0,0,0
347976,0,0,0,0,0,0,0,0,0,0,0,0,0
347977,0,0,0,0,0,0,0,0,0,0,0,0,0
347978,0,0,0,0,0,0,0,0,0,0,0,0,0
347979,0,0,0,0,0,0,0,0,0,0,0,0,0
347981,0,0,0,0,0,0,0,0,0,0,0,0,0
347982,0,1,1,1,1,1,1,1,1,1,1,1,0
347983,0,0,0,0,0,0,0,0,0,0,0,0,0
347984,1,1,1,1,1,1,1,1,1,1,1,1,1
347985,0,0,0,0,0,0,0,0,0,0,0,0,0
347987,0,0,0,0,0,0,0,0,0,0,0,0,0
347990,0,0,0,0,0,0,0,0,0,0,0,0,0
347993,0,0,0,0,0,0,0,0,0,0,0,0,0
347994,0,0,0,0,0,0,0,0,0,0,0,0,0
347995,0,0,0,0,0,0,0,0,0,0,0,0,0
347996,1,1,1,1,1,1,1,1,1,1,1,0,1
347997,0,0,0,0,0,0,0,0,0,0,0,0,0
347998,0,0,0,0,0,0,0,0,0,0,0,0,0
347999,1,1,1,1,1,1,1,1,1,1,1,1,1
348000,1,1,1,1,1,1,1,1,1,1,1,1,1
348001,0,0,0,0,0,0,0,0,0,0,0,0,0
348002,1,1,1,1,1,1,1,1,1,1,1,1,1
348003,0,0,0,0,0,0,0,0,0,0,0,0,0
348005,0,0,0,0,0,0,0,0,0,0,0,0,0
348006,0,0,0,0,0,0,0,0,0,0,0,0,0
348008,1,1,1,1,1,1,1,0,1,1,1,1,1
348009,0,0,0,0,0,0,0,0,0,0,0,0,0
348010,1,1,1,1,1,1,1,1,1,1,1,1,1
348014,1,0,1,1,1,1,1,1,1,1,1,1,1
348015,0,0,0,0,0,0,0,0,0,0,0,0,0
348016,0,0,0,0,0,0,0,0,0,0,0,0,0
348017,0,0,0,0,0,0,0,0,0,0,0,0,0
348018,0,0,0,0,0,0,0,0,0,0,0,0,0
348019,0,0,0,0,0,0,0,0,0,0,0,0,0
348023,0,0,0,0,0,0,0,0,0,0,0,0,0
348024,0,0,0,0,0,0,0,0,0,0,0,0,0
348025,0,0,0,0,0,0,0,0,0,0,0,0,0
348026,0,0,0,0,0,0,0,0,0,0,0,0,0
348028,1,1,1,1,1,1,1,1,1,1,1,1,1
348030,0,0,0,0,0,0,0,0,0,0,0,0,0
348031,0,0,0,0,0,0,0,0,0,0,0,0,0
348033,0,0,0,0,0,0,0,0,0,0,0,0,0
348034,0,0,0,0,0,0,0,0,0,0,0,0,0
348035,0,0,0,0,0,0,0,0,0,0,0,0,0
348036,1,1,1,1,1,1,1,1,1,1,1,1,1
348037,0,0,0,0,0,0,0,0,0,0,0,0,0
348039,0,0,0,0,0,0,0,0,0,0,0,0,0
348040,0,0,0,0,0,0,0,0,0,0,0,0,0
348041,1,1,1,1,1,1,1,1,1,1,1,1,1
348043,0,0,0,0,0,0,0,0,0,0,0,0,0
348044,1,1,1,1,1,1,1,1,1,1,1,1,1
348045,0,0,0,0,0,0,0,0,0,0,0,0,0
348046,0,0,0,0,0,0,0,0,0,0,0,0,0
348048,1,1,1,1,1,1,1,1,1,1,1,0,1
348050,0,0,0,0,0,0,0,0,0,0,0,0,0
348051,0,0,0,0,0,0,0,0,0,0,0,0,0
348052,0,0,0,0,0,0,0,0,0,0,0,0,0
348053,0,0,0,0,0,0,0,0,0,0,0,0,0
348054,0,0,0,0,0,0,0,0,0,0,0,0,0
348055,1,1,1,1,1,1,1,1,1,1,1,1,1
348057,0,0,0,0,0,0,0,0,0,0,0,0,0
348059,0,0,0,0,0,0,0,0,0,0,0,0,0
348060,0,0,0,0,0,0,0,0,0,0,0,0,0
348061,0,0,0,0,0,0,0,0,0,0,0,0,0
348062,0,0,0,0,0,0,0,0,0,0,0,0,0
348063,0,1,1,1,1,1,1,1,1,1,1,1,1
348065,0,0,0,0,0,0,0,0,0,0,0,0,0
348069,0,0,0,0,0,0,0,0,0,0,0,0,0
348070,0,1,1,0,1,1,1,1,1,1,1,1,1
348071,0,0,0,0,0,0,0,0,0,0,0,0,0
348072,0,0,0,0,0,0,0,0,0,0,0,0,0
348073,1,0,1,1,0,1,1,0,1,1,0,0,1
348074,0,0,0,0,0,0,0,0,0,0,0,0,0
348076,0,0,0,0,0,0,0,0,0,0,0,0,0
348077,0,0,0,0,0,0,0,0,0,0,0,0,0
348080,0,0,0,0,0,0,0,0,0,0,0,0,0
348081,1,1,0,1,0,1,0,1,1,0,1,1,0
348082,0,0,0,0,0,0,0,0,0,0,0,0,0
348083,0,0,0,0,0,0,0,0,0,0,0,0,0
348084,0,0,0,0,0,0,0,0,0,0,0,0,0
348085,0,0,0,0,0,0,0,0,0,0,0,0,0
348087,0,0,0,0,0,0,0,0,0,0,0,0,0
348088,1,1,0,1,1,1,1,1,1,1,1,1,1
348089,0,0,0,0,0,0,0,0,0,0,0,0,0
348092,1,1,1,1,1,1,1,1,1,1,1,1,1
348093,0,0,0,0,0,0,0,0,0,0,0,0,0
348094,0,0,0,0,0,0,0,0,0,0,0,0,0
348095,0,0,0,0,0,0,0,0,0,0,0,0,0
348096,1,1,1,1,1,1,1,1,1,1,1,0,1
348097,0,1,1,0,1,1,0,1,1,0,1,1,0
348098,0,0,0,0,0,0,0,0,0,0,0,0,0
348099,0,0,0,0,0,0,0,0,0,0,0,0,0
348100,0,0,0,0,0,0,0,0,0,0,0,0,0
348102,0,0,0,0,0,0,0,0,0,0,0,0,0
348103,0,0,0,0,0,0,0,0,0,0,0,0,0
348104,0,0,0,0,0,0,0,0,0,0,0,0,0
348105,0,1,1,1,1,1,1,1,1,1,0,1,1
348106,0,0,0,0,0,0,0,0,0,0,0,0,0
348107,0,0,0,0,0,0,0,0,0,0,0,0,0
348108,0,0,0,0,0,0,0,0,0,0,0,0,0
348109,1,1,1,1,1,1,1,1,1,1,1,1,1
348111,0,0,0,0,0,0,0,0,0,0,0,0,0
348112,1,1,1,1,1,1,1,1,1,1,1,1,1
348113,0,0,0,0,0,0,0,0,0,0,0,0,0
348114,0,0,0,0,0,0,0,0,0,0,0,0,0
348115,0,0,0,0,0,0,0,0,0,0,0,0,0
348116,0,0,0,0,0,0,0,0,0,0,0,0,0
348117,1,1,1,1,1,1,1,1,1,1,1,1,1
348118,0,0,0,0,0,0,0,0,0,0,0,0,0
348120,0,0,0,0,0,0,0,0,0,0,0,0,0
348121,1,1,1,0,1,1,1,0,1,1,0,1,1
348122,0,0,0,0,0,0,0,0,0,0,0,0,0
348123,1,1,0,1,1,1,1,0,1,1,0,1,1
348124,0,0,0,0,0,0,0,0,0,0,0,0,0
348125,0,0,0,0,0,0,0,0,0,0,0,0,0
348127,0,0,0,0,0,0,0,0,0,0,0,0,0
348129,0,0,0,0,0,0,0,0,0,0,0,0,0
348130,1,1,1,1,1,1,1,1,1,1,1,1,1
348131,0,0,0,0,0,0,0,0,0,0,0,0,0
348132,0,0,0,0,0,0,0,0,0,0,0,0,0
348133,0,0,0,0,0,0,0,0,0,0,0,0,0
348134,0,0,0,0,0,0,0,0,0,0,0,0,0
348135,0,0,0,0,0,0,0,0,0,0,0,0,0
348137,0,0,0,0,0,0,0,0,0,0,0,0,0
348139,0,0,0,0,0,0,0,0,0,0,0,0,0
348142,0,1,1,1,1,1,1,1,1,1,1,1,1
348143,1,1,1,1,1,1,1,1,1,1,1,1,1
348145,0,0,0,0,0,0,0,0,0,0,0,0,0
348147,0,0,0,0,0,0,0,0,0,0,0,0,0
348148,1,0,1,1,1,1,1,1,1,1,0,1,1
348149,0,0,0,0,0,0,0,0,0,0,0,0,0
348152,0,0,0,0,0,0,0,0,0,0,0,0,0
348154,1,1,1,1,1,1,1,1,1,1,1,1,1
348155,0,0,0,0,0,0,0,0,0,0,0,0,0
348157,0,0,0,0,0,0,0,0,0,0,0,0,0
348158,0,0,0,0,0,0,0,0,0,0,0,0,0
348159,0,0,0,0,0,0,0,0,0,0,0,0,0
348162,1,1,1,1,1,1,1,1,1,1,1,1,1
348163,1,1,1,0,1,1,1,1,1,0,1,1,1
348164,1,1,0,1,1,1,1,1,0,1,1,0,1
348165,0,0,0,0,0,0,0,0,0,0,0,0,0
348166,0,0,0,0,0,0,0,0,0,0,0,0,0
