WR_GROUP,Year,Algorithm,n_irrfields,n_IrrConfHigh,area_m2_wrg,n_within_lema,n_within_buffer,n_croptypes,ET_m3,irr_m3_fromNonIrr,irr_m3_fromPrec,CropCode_maincrop,area_m2_maincrop,area_prc_maincrop,irr_m3_fromWIMAS,IrrArea_m2
6,2018,disalexi,4,3,507061.5,0,0,2,368743.34,97597.8,54036.2,4,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2018,eemetric,4,3,507061.5,0,0,2,435890.81,121664.7,120752.1,4,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2018,ensemble,4,3,507061.5,0,0,2,405799.84,88825.9,90661.1,4,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2018,geesebal,4,3,507061.5,0,0,2,333051.47,59113.4,19331.7,4,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2018,ptjpl,4,3,507061.5,0,0,2,367734.03,59125.4,52747,4,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2018,sims,4,3,507061.5,0,0,2,454920.73,58568.4,139782,4,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
6,2018,ssebop,4,3,507061.5,0,0,2,488706.7,107965.8,173568,4,254565.66220562623,0.5020409993770504,91277.65729368,485622.77
7,2016,disalexi,1,0,354674.04,0,0,1,189270.38,19767.3,26648.8,1,354674.0424027251,1.00000000677446,88810.69358304,323748.51
7,2016,eemetric,1,0,354674.04,0,0,1,271502.27,40326.6,108880.7,1,354674.0424027251,1.00000000677446,88810.69358304,323748.51
7,2016,ensemble,1,0,354674.04,0,0,1,248130.31,24990.1,85508.7,1,354674.0424027251,1.00000000677446,88810.69358304,323748.51
7,2016,geesebal,1,0,354674.04,0,0,1,207005.15,25679.7,44383.6,1,354674.0424027251,1.00000000677446,88810.69358304,323748.51
7,2016,ptjpl,1,0,354674.04,0,0,1,231623.43,3214.8,69001.8,1,354674.0424027251,1.00000000677446,88810.69358304,323748.51
7,2016,sims,1,0,354674.04,0,0,1,300123.76,18171.6,137502.2,1,354674.0424027251,1.00000000677446,88810.69358304,323748.51
7,2016,ssebop,1,0,354674.04,0,0,1,298711.8,39140.3,136090.2,1,354674.0424027251,1.00000000677446,88810.69358304,323748.51
7,2017,disalexi,1,0,354674.04,0,0,1,205438.55,34021.2,0,1,354674.0424027251,1.00000000677446,144317.37707244,323748.51
7,2017,eemetric,1,0,354674.04,0,0,1,288218.77,70406.1,35655.4,1,354674.0424027251,1.00000000677446,144317.37707244,323748.51
7,2017,ensemble,1,0,354674.04,0,0,1,255379.5,41949.7,2816.1,1,354674.0424027251,1.00000000677446,144317.37707244,323748.51
7,2017,geesebal,1,0,354674.04,0,0,1,228621.47,54625.3,0,1,354674.0424027251,1.00000000677446,144317.37707244,323748.51
7,2017,ptjpl,1,0,354674.04,0,0,1,247651.86,28044.2,0,1,354674.0424027251,1.00000000677446,144317.37707244,323748.51
7,2017,sims,1,0,354674.04,0,0,1,307943.96,20088.3,55380.6,1,354674.0424027251,1.00000000677446,144317.37707244,323748.51
7,2017,ssebop,1,0,354674.04,0,0,1,277996,48152.4,25432.6,1,354674.0424027251,1.00000000677446,144317.37707244,323748.51
7,2018,disalexi,1,0,354674.04,0,0,1,230739.58,NA,17013,24,354674.0424027251,1.00000000677446,49329.95073112139,323748.51
7,2018,eemetric,1,0,354674.04,0,0,1,269419.98,NA,55693.4,24,354674.0424027251,1.00000000677446,49329.95073112139,323748.51
7,2018,ensemble,1,0,354674.04,0,0,1,255640.54,NA,41914,24,354674.0424027251,1.00000000677446,49329.95073112139,323748.51
7,2018,geesebal,1,0,354674.04,0,0,1,229566.32,NA,15839.7,24,354674.0424027251,1.00000000677446,49329.95073112139,323748.51
7,2018,ptjpl,1,0,354674.04,0,0,1,235652.53,NA,21925.9,24,354674.0424027251,1.00000000677446,49329.95073112139,323748.51
7,2018,sims,1,0,354674.04,0,0,1,291820.84,NA,78094.3,24,354674.0424027251,1.00000000677446,49329.95073112139,323748.51
7,2018,ssebop,1,0,354674.04,0,0,1,293946.04,NA,80219.5,24,354674.0424027251,1.00000000677446,49329.95073112139,323748.51
8,2016,disalexi,4,0,989470.29,0,0,1,534286.92,66433.2,67636.1,1,989470.2944171405,1.0000000044641466,166520.0504682,283279.95
8,2016,eemetric,4,0,989470.29,0,0,1,747828.2,107111.5,276662.3,1,989470.2944171405,1.0000000044641466,166520.0504682,283279.95
8,2016,ensemble,4,0,989470.29,0,0,1,681162.61,64833.9,209996.7,1,989470.2944171405,1.0000000044641466,166520.0504682,283279.95
8,2016,geesebal,4,0,989470.29,0,0,1,562597.99,60460.3,91432.1,1,989470.2944171405,1.0000000044641466,166520.0504682,283279.95
8,2016,ptjpl,4,0,989470.29,0,0,1,646596.07,24845.9,175430.1,1,989470.2944171405,1.0000000044641466,166520.0504682,283279.95
8,2016,sims,4,0,989470.29,0,0,1,815322.18,37581.8,344156.2,1,989470.2944171405,1.0000000044641466,166520.0504682,283279.95
8,2016,ssebop,4,0,989470.29,0,0,1,837339.68,113364.6,366173.7,1,989470.2944171405,1.0000000044641466,166520.0504682,283279.95
8,2017,disalexi,2,0,295082.43,0,0,1,196643.25,54027,0,1,295082.426675912,0.9999999887350528,186255.76015332,849839.84
8,2017,eemetric,2,0,295082.43,0,0,1,249283.31,68067.1,35053.5,1,295082.426675912,0.9999999887350528,186255.76015332,849839.84
8,2017,ensemble,2,0,295082.43,0,0,1,218188.01,40618.3,6708.6,1,295082.426675912,0.9999999887350528,186255.76015332,849839.84
8,2017,geesebal,2,0,295082.43,0,0,1,205395.02,60633.3,3034.6,1,295082.426675912,0.9999999887350528,186255.76015332,849839.84
8,2017,ptjpl,2,0,295082.43,0,0,1,180066.22,1718.2,0,1,295082.426675912,0.9999999887350528,186255.76015332,849839.84
8,2017,sims,2,0,295082.43,0,0,1,264579.65,25088.9,50349.8,1,295082.426675912,0.9999999887350528,186255.76015332,849839.84
8,2017,ssebop,2,0,295082.43,0,0,1,263227.34,72001.6,48997.5,1,295082.426675912,0.9999999887350528,186255.76015332,849839.84
8,2018,disalexi,4,1,989470.29,0,0,2,655565.51,118632.3,47686.5,1,694387.8677412285,0.701777380037584,98678.5484256,809371.28
8,2018,eemetric,4,1,989470.29,0,0,2,756090.51,136471.7,144004.2,1,694387.8677412285,0.701777380037584,98678.5484256,809371.28
8,2018,ensemble,4,1,989470.29,0,0,2,726438.66,101693.6,114352.3,1,694387.8677412285,0.701777380037584,98678.5484256,809371.28
8,2018,geesebal,4,1,989470.29,0,0,2,645751.21,107629,37621.4,1,694387.8677412285,0.701777380037584,98678.5484256,809371.28
8,2018,ptjpl,4,1,989470.29,0,0,2,667966.32,56547.3,59682.5,1,694387.8677412285,0.701777380037584,98678.5484256,809371.28
8,2018,sims,4,1,989470.29,0,0,2,807215.64,34255.1,195129.2,1,694387.8677412285,0.701777380037584,98678.5484256,809371.28
