WR_GROUP,Year,Algorithm,ET_m3,ETo_m3,ETr_m3,precip_m3,ET_m3_nonirr,Irrigation_m3,IrrArea_m2,WaterUse_m3,area_m2_wrg,n_irrfields,n_within_lema,n_within_buffer,CropCode_maincrop,area_m2_maincrop,n_croptypes
7,2016,disalexi,161479.54,546726.49,775803.36,186395.4,151928.17,88810.69,323748.51,88810.69,354674.04,1,0,0,1,354674.0424027251,1
7,2016,eemetric,301508.4,546726.49,775803.36,186395.4,279334.18,88810.69,323748.51,88810.69,354674.04,1,0,0,1,354674.0424027251,1
7,2016,ensemble,264317.28,546726.49,775803.36,186395.4,256523.32,88810.69,323748.51,88810.69,354674.04,1,0,0,1,354674.0424027251,1
7,2016,ptjpl,223253.12,546726.49,775803.36,186395.4,226131.3,88810.69,323748.51,88810.69,354674.04,1,0,0,1,354674.0424027251,1
7,2016,sims,246420.43,546726.49,775803.36,186395.4,226037.31,88810.69,323748.51,88810.69,354674.04,1,0,0,1,354674.0424027251,1
7,2016,ssebop,354869.11,546726.49,775803.36,186395.4,329148.15,88810.69,323748.51,88810.69,354674.04,1,0,0,1,354674.0424027251,1
7,2017,disalexi,190928.13,537068.72,762964.16,286991.59,163440.89,144317.38,323748.51,144317.38,354674.04,1,0,0,1,354674.0424027251,1
7,2017,eemetric,340522.55,537068.72,762964.16,286991.59,285055.07,144317.38,323748.51,144317.38,354674.04,1,0,0,1,354674.0424027251,1
7,2017,ensemble,286115.55,537068.72,762964.16,286991.59,248998.91,144317.38,323748.51,144317.38,354674.04,1,0,0,1,354674.0424027251,1
7,2017,ptjpl,239316.31,537068.72,762964.16,286991.59,228747.02,144317.38,323748.51,144317.38,354674.04,1,0,0,1,354674.0424027251,1
7,2017,sims,252882.59,537068.72,762964.16,286991.59,219670.91,144317.38,323748.51,144317.38,354674.04,1,0,0,1,354674.0424027251,1
7,2017,ssebop,327945.81,537068.72,762964.16,286991.59,297791.42,144317.38,323748.51,144317.38,354674.04,1,0,0,1,354674.0424027251,1
7,2018,disalexi,207218.31,519168.32,731564.87,254467.99,193788.58,49329.95,323748.51,49329.95,354674.04,1,0,0,24,354674.0424027251,1
7,2018,eemetric,302246.13,519168.32,731564.87,254467.99,255938.11,49329.95,323748.51,49329.95,354674.04,1,0,0,24,354674.0424027251,1
7,2018,ensemble,272389.66,519168.32,731564.87,254467.99,250226.08,49329.95,323748.51,49329.95,354674.04,1,0,0,24,354674.0424027251,1
7,2018,ptjpl,236145.52,519168.32,731564.87,254467.99,235471.64,49329.95,323748.51,49329.95,354674.04,1,0,0,24,354674.0424027251,1
7,2018,sims,229172.63,519168.32,731564.87,254467.99,214923.6,49329.95,323748.51,49329.95,354674.04,1,0,0,24,354674.0424027251,1
7,2018,ssebop,329197.81,519168.32,731564.87,254467.99,294994.81,49329.95,323748.51,49329.95,354674.04,1,0,0,24,354674.0424027251,1
8,2016,disalexi,433653.03,1517837.54,2150118.95,537312.05,423849.5,166520.05,283279.95,166520.05,989470.29,4,0,0,1,989470.2944171405,1
8,2016,eemetric,788925.83,1517837.54,2150118.95,537312.05,779287.01,166520.05,283279.95,166520.05,989470.29,4,0,0,1,989470.2944171405,1
8,2016,ensemble,703531.05,1517837.54,2150118.95,537312.05,715649.23,166520.05,283279.95,166520.05,989470.29,4,0,0,1,989470.2944171405,1
8,2016,ptjpl,616008,1517837.54,2150118.95,537312.05,630861.52,166520.05,283279.95,166520.05,989470.29,4,0,0,1,989470.2944171405,1
8,2016,sims,647603.1,1517837.54,2150118.95,537312.05,630599.31,166520.05,283279.95,166520.05,989470.29,4,0,0,1,989470.2944171405,1
8,2016,ssebop,917925.52,1517837.54,2150118.95,537312.05,918258.12,166520.05,283279.95,166520.05,989470.29,4,0,0,1,989470.2944171405,1
8,2017,disalexi,159875.35,443402.66,629053.77,242876.44,135979.88,186255.76,849839.84,186255.76,295082.43,2,0,0,1,295082.426675912,1
8,2017,eemetric,278828.23,443402.66,629053.77,242876.44,237160.7,186255.76,849839.84,186255.76,295082.43,2,0,0,1,295082.426675912,1
8,2017,ensemble,244093.27,443402.66,629053.77,242876.44,207162.62,186255.76,849839.84,186255.76,295082.43,2,0,0,1,295082.426675912,1
