gridmet_id,Year,ETo_mm,ETr_mm,precip_mm
562778,2008,1384.2,1941.26,642.62
562778,2009,1287.3,1775.53,668.07
562778,2010,1464.6,2064.77,589.31
562778,2011,1635.58,2361.28,632.4
562778,2012,1805.11,2643.98,329.98
562778,2013,1514.12,2166.06,408.1
562778,2014,1464.2,2085.58,509.62
562778,2015,1482.28,2091.79,514.87
562778,2016,1480,2082.15,625.73
562778,2017,1484.07,2101.55,720.42
562778,2018,1372.41,1906.61,663.54
562778,2019,1306.97,1798.85,742.48
562778,2020,1545.2,2212.39,391.82
562779,2006,1506.98,2139.25,587.77
562779,2007,1387.92,1922.18,479.63
562779,2008,1383,1939.15,649.37
562779,2009,1289.94,1780.04,659.64
562779,2010,1466.4,2067.83,621.33
562779,2011,1635.35,2360.99,635.27
562779,2012,1806.33,2646.02,332.3
562779,2013,1517.02,2171.42,407.67
562779,2014,1468.03,2092.44,509.64
562779,2015,1487.08,2100.37,539.43
562779,2016,1479.72,2081.71,643.94
562779,2017,1487.88,2107.84,702.53
562779,2018,1370.08,1903.17,682.03
562779,2019,1306.42,1798.15,771.13
562779,2020,1542.97,2207.3,384.29
564179,2006,1510.23,2142.57,532.98
564179,2007,1400.21,1944.93,486.09
564179,2008,1408.08,1984.55,585.17
564179,2009,1297.37,1792.87,681.86
564179,2010,1478.82,2090.33,521.09
564179,2011,1624.34,2344.04,599.77
564179,2012,1811.09,2657.09,321.06
564179,2013,1496.96,2136.4,428.27
564179,2014,1452.95,2066.29,502.39
564179,2015,1458.35,2049.7,539.69
564179,2016,1489.82,2102.19,501.03
564179,2017,1467.39,2074.92,680.97
564179,2018,1407.91,1970.4,619.39
564179,2019,1323.51,1829.3,744.01
564179,2020,1566.18,2247.86,363.51
564180,2006,1501.41,2126.95,527.11
564180,2007,1392.21,1930.42,481.5
564180,2008,1398.95,1968.21,588.34
564180,2009,1291.95,1782.74,677.95
564180,2010,1469.19,2072.96,530.2
564180,2011,1619.24,2334.46,602.7
564180,2012,1801.66,2640.06,324.06
564180,2013,1490.71,2124.92,424.99
564180,2014,1445.43,2052.82,497.49
564180,2015,1451.87,2037.96,536.2
564180,2016,1481.87,2087.51,513.58
564180,2017,1460.59,2061.86,690.4
564180,2018,1399.3,1953.61,633.97
564180,2019,1314.97,1814.51,768.8
564180,2020,1556.78,2231.26,363.26
564181,2006,1500.25,2125.13,524.85
564181,2007,1390.76,1927.68,482.6
